使用区队	申请日期	出库明细									
使用区队	申请日期	物料类型	物料编码	物料名称	规格型号	单位	出库数量	单价	金额	单位	工程名称
掘进一队	2025-12-24	材料	110501010000022	钢丝绳	6.2 6×19M-FC 1770 U sZ	公斤	150.00	8.14	1221.00	开掘	﹢740m上仓斜巷
掘进一队	2025-12-24	材料	110501270000001	钢丝绳	6×19s×12.5	公斤	1000.00	8.69	8690.00	开掘	﹢740m上仓斜巷
掘进一队	2025-12-24	材料	390101030000036	梅花扳手	24-27mm	把	3.00	12.12	36.36	开掘	﹢740m上仓斜巷
掘进一队	2025-12-24	材料	210911230000004	氧气减压器	YQY-07 2.5×25mpa	块	1.00	59.48	59.48	开掘	﹢740m上仓斜巷
掘进一队	2025-12-24	材料	230119130000001	尼龙扎丝	250mm	根	741.00	0.02	14.82	开掘	﹢740m上仓斜巷
掘进一队	2025-12-24	材料	211503010000004	普通螺母	16mm	件	500.00	0.19	95.00	开掘	﹢740m上仓斜巷
掘进一队	2025-12-24	材料	211501010000216	六角螺栓	16×70	件	430.00	0.83	356.90	开掘	﹢740m上仓斜巷
掘进一队	2025-12-24	材料	110507010000008	镀锌铁丝	4.0mm	公斤	40.00	5.15	206.00	开掘	﹢740m上仓斜巷
掘进一队	2025-12-24	材料	230119110000006	尼龙扎带	5×500	根	1250.00	0.07	87.50	开掘	﹢740m上仓斜巷
掘进一队	2025-12-24	材料	212701010000009	手动葫芦	1t×5m	台	1.00	275.00	275.00	开掘	﹢740m上仓斜巷
掘进一队	2025-12-24	材料	990143010007135	直通	Φ19	个	6.00	6.29	37.74	开掘	﹢740m上仓斜巷
智能化信息化中心	2025-12-24	材料	390115070000001	ATO 精品钢丝钳200mm（45#钢）（单位：把）	200mm（45#钢）	把	2.00	9.39	18.78	开掘	﹢740m上仓斜巷
智能化信息化中心	2025-12-24	材料	390121010000104	壁纸刀	2041	把	2.00	18.91	37.82	开掘	﹢740m上仓斜巷
智能化信息化中心	2025-12-24	材料	390115090000002	精品尖嘴钳	200mm（优质合金钢）	把	2.00	8.81	17.62	开掘	﹢740m上仓斜巷
智能化信息化中心	2025-12-24	材料	390115130000002	精品斜嘴钳	200mm（优质合金钢）	把	2.00	19.87	39.74	开掘	﹢740m上仓斜巷
掘进二队	2025-12-23	材料	990145010000597	尖锹	/	把	7.00	8.11	56.77	开掘	﹢740m上仓斜巷
掘进二队	2025-12-23	材料	972717050000003	大扫帚	竹把	把	2.00	14.59	29.18	开掘	﹢740m上仓斜巷
掘进二队	2025-12-23	材料	250115010000001	单胶大身雨衣	.	件	5.00	84.94	424.70	开掘	﹢740m上仓斜巷
掘进二队	2025-12-23	材料	230119110000006	尼龙扎带	5×500	根	1000.00	0.07	70.00	开掘	﹢740m上仓斜巷
掘进二队	2025-12-23	材料	990143030013968	气动隔膜泵	BQG（350-400）/(0.2-0.4)（3969）	台	1.00	3600.00	3600.00	开掘	﹢740m上仓斜巷
掘进二队	2025-12-23	材料	210553010000028	煤矿用隔爆型低压电缆接线盒	BHD2-40/660-3T	台	4.00	89.36	357.44	开掘	﹢740m上仓斜巷
掘进二队	2025-12-23	材料	230109330000617	高压胶管总成	KJR4-19-46/10000	条	3.00	734.54	2203.62	开掘	﹢740m上仓斜巷
掘进二队	2025-12-23	材料	214101030000003	重型绳卡头	15mm	个	15.00	4.05	60.75	开掘	﹢740m上仓斜巷
掘进二队	2025-12-23	材料	210553170000005	矿用隔爆型照明信号综合保护装置	ZBZ(0-16)-4.0/1140(660)M	台	1.00	2926.41	2926.41	开掘	﹢740m上仓斜巷
掘进二队	2025-12-23	材料	110505110000030	退火钢丝（镀锌铁丝）	TA-2.2-YB/T 5294-2009	公斤	25.00	5.54	138.50	开掘	﹢740m上仓斜巷
掘进二队	2025-12-23	材料	210553010000002	（煤）矿用隔爆型低压电缆接线盒	BHD2-100/660-4T	台	1.00	162.48	162.48	开掘	﹢740m上仓斜巷
掘进二队	2025-12-23	材料	230109190000001	喷砂用橡胶软管	“A”级/51/0.63 MPa	米	160.00	42.17	6747.20	开掘	﹢740m上仓斜巷
掘进二队	2025-12-23	材料	510199190000021	U型卡	Φ19	件	30.00	0.34	10.20	开掘	﹢740m上仓斜巷
掘进二队	2025-12-23	材料	230109330000475	高压胶管总成	KJR3-19-24/10000	条	4.00	450.00	1800.00	开掘	﹢740m上仓斜巷
掘进二队	2025-12-23	材料	510199170000140	球形截止阀	QJ19	件	10.00	61.95	619.50	开掘	﹢740m上仓斜巷
掘进二队	2025-12-23	材料	210111010000230	橡套电缆	MY-0.38/0.66KV 3×16+1×10 .	米	400.00	67.41	26964.00	开掘	﹢740m上仓斜巷
掘进二队	2025-12-23	材料	230109330000475	高压胶管总成	KJR3-19-24/10000	条	1.00	467.00	467.00	开掘	﹢740m上仓斜巷
掘进二队	2025-12-23	材料	990143010007135	直通	Φ19	个	5.00	6.29	31.45	开掘	﹢740m上仓斜巷
机电队	2025-12-23	材料	210323070000017	矿用隔爆型LED巷道灯	DGS18/127L（B）	台	12.00	365.00	4380.00	开掘	﹢740m上仓斜巷
机电队	2025-12-23	材料	110107170000006	镀锌管	Q235Φ20mm	公斤	198.00	3.69	730.62	开掘	﹢740m上仓斜巷
机电队	2025-12-23	材料	110107170000009	镀锌管	Q235Φ40mm	公斤	49.00	3.43	168.07	开掘	﹢740m上仓斜巷
机电队	2025-12-23	材料	390127050000014	扁油桶	25L	个	4.00	32.64	130.56	开掘	﹢740m上仓斜巷
机电队	2025-12-23	材料	278703030000003	塑料涂覆布负压风筒伸缩弯头	FTFSS800mm×100 mm×5m	个	1.00	719.60	719.60	开掘	﹢740m上仓斜巷
机电队	2025-12-23	材料	275701000000003	铁质导向器	800mm.	个	1.00	1058.40	1058.40	开掘	﹢740m上仓斜巷
机电队	2025-12-23	材料	210111010000286	橡套电缆	MYP-0.66/1.14KV 3×35+1×16 .	米	50.00	135.00	6750.00	开掘	﹢740m上仓斜巷
机电队	2025-12-23	材料	250701070000003	乳胶手套	乳胶	双	37.00	4.92	182.04	开掘	﹢740m上仓斜巷
机电队	2025-12-23	材料	210111010000298	橡套电缆	MYP-0.66/1.14KV 3×95+1×25 .	米	120.00	323.48	38817.60	开掘	﹢740m上仓斜巷
机电队	2025-12-23	材料	210111070000037	交联电缆	MYJV22 6/6KV 3×95.	米	550.00	234.60	129030.00	开掘	﹢740m上仓斜巷
机电队	2025-12-23	材料	210111030000545	塑力电缆	VV22-0.6/1KV 4×120 .	米	46.00	333.03	15319.38	开掘	﹢740m上仓斜巷
机电队	2025-12-23	材料	550123110000010	650销子	12×90	件	400.00	0.32	128.00	开掘	﹢740m上仓斜巷
机电队	2025-12-23	材料	230115010000003	塑料涂覆布正压风筒	FTZSS600*10	米	50.00	18.57	928.50	开掘	﹢740m上仓斜巷
机电队	2025-12-23	材料	210111010000465	煤矿用移动轻型橡套软电缆	MYQ4×2.5.	米	215.00	8.49	1825.35	开掘	﹢740m上仓斜巷
机电队	2025-12-23	材料	210117050000027	阻燃型冷缩终端接头（户内、户外）	10KV 3*70-120	套	1.00	292.09	292.09	开掘	﹢740m上仓斜巷
机电队	2025-12-23	材料	391501090000002	喷漆枪	PQ200MM	套	2.00	143.90	287.80	开掘	﹢740m上仓斜巷
办公室	2025-12-21	材料	250101030000013	加厚防尘服	大中小号	套	1.00	144.90	144.90	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-19	材料	E21009070000155	矿用乳化液带式锯	JRD-13/1500	台	1.00	70000.00	70000.00	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-19	材料	210509010000032	交流接触器	(CJT1)CJ10-40A/220V.	台	1.00	38.00	38.00	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-19	材料	230119130000001	尼龙扎丝	250mm	根	400.00	0.02	8.00	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-19	材料	971143000000005	包塑钢丝绳	Φ5mm	米	200.00	0.49	98.00	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-19	材料	230119110000006	尼龙扎带	5×500	根	500.00	0.07	35.00	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-19	材料	990143030030690	钢绞线	-9690	公斤	655.00	7.00	4585.00	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-19	材料	214101030000001	重型绳卡头	10mm	个	10.00	1.51	15.10	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-19	材料	250101030000013	加厚防尘服	大中小号	套	1.00	144.90	144.90	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-19	材料	210103050000014	绝缘电线	BVR-450/750 4mm2	米	300.00	3.66	1098.00	开掘	﹢740m上仓斜巷
设备物资管理中心	2025-12-18	材料	250101030000013	加厚防尘服	大中小号	套	2.00	144.90	289.80	开掘	﹢740m上仓斜巷
掘进一队	2025-12-17	材料	213313170000004	手板锯	优质合金钢	把	2.00	51.06	102.12	开掘	﹢740m上仓斜巷
掘进一队	2025-12-17	材料	211501010000193	六角螺栓	16×120	件	20.00	1.48	29.60	开掘	﹢740m上仓斜巷
掘进一队	2025-12-17	材料	211503010000004	普通螺母	16mm	件	20.00	0.19	3.80	开掘	﹢740m上仓斜巷
掘进一队	2025-12-17	材料	210117030000023	矿用电缆挂钩	GL-PVC80	个	250.00	2.13	532.50	开掘	﹢740m上仓斜巷
掘进一队	2025-12-17	材料	盈树	焊管	Q235Φ100mm	公斤	8500.00	3.11	26435.00	开掘	﹢740m上仓斜巷
掘进一队	2025-12-17	材料	990143030037906	中间架	800mm（16906）	架	20.00	404.60	8092.00	开掘	﹢740m上仓斜巷
掘进一队	2025-12-17	材料	292107010000024	防爆密封圈	75×40×20	件	5.00	3.61	18.05	开掘	﹢740m上仓斜巷
掘进一队	2025-12-17	材料	550199110000026	托辊	89×280×20×325(±20)×3.25-3	组	150.00	218.89	32833.50	开掘	﹢740m上仓斜巷
掘进一队	2025-12-17	材料	230309110000004	润滑脂	3#锂基脂	吨	0.02	26761.06	535.22	开掘	﹢740m上仓斜巷
掘进一队	2025-12-17	材料	971143000000005	包塑钢丝绳	Φ5mm	米	200.00	0.49	98.00	开掘	﹢740m上仓斜巷
掘进一队	2025-12-17	材料	570905030000216	矿用本安型拉线开关	KHL1-0.1/24	件	5.00	907.80	4539.00	开掘	﹢740m上仓斜巷
掘进一队	2025-12-17	材料	213123010000043	高强度碳钢扣（高强度输送带扣）	T10-26	盒	1.00	59.70	59.70	开掘	﹢740m上仓斜巷
通风队	2025-12-17	材料	250115010000001	单胶大身雨衣	.	件	10.00	84.94	849.40	开掘	﹢740m上仓斜巷
通风队	2025-12-17	材料	250701070000003	乳胶手套	乳胶	双	36.00	4.92	177.12	开掘	﹢740m上仓斜巷
通风队	2025-12-17	材料	210505190000047	空气开关（断路器）	DZ47-63/ 3P 63A（长城）	台	2.00	15.90	31.80	开掘	﹢740m上仓斜巷
通风队	2025-12-17	材料	190301090000003	隔绝式化学氧自救器	ZH30X（A）	台	10.00	216.81	2168.10	开掘	﹢740m上仓斜巷
机电队	2025-12-14	材料	210505030000039	塑料外壳式断路器	SRM10-250A/330	台	6.00	110.50	663.00	开掘	﹢740m上仓斜巷
机电队	2025-12-14	材料	210505030000024	塑壳式断路器	YCM20Y-225/3300100A	台	6.00	181.70	1090.20	开掘	﹢740m上仓斜巷
机电队	2025-12-14	材料	210505030000043	塑料外壳式断路器	SRM10-400A/330	台	6.00	267.70	1606.20	开掘	﹢740m上仓斜巷
机电队	2025-12-14	材料	231103010001520	环氧树脂冷浇铸剂	2#	盒	1.00	27.34	27.34	开掘	﹢740m上仓斜巷
机电队	2025-12-14	材料	210911230000004	氧气减压器	YQY-07 2.5×25mpa	块	2.00	59.48	118.96	开掘	﹢740m上仓斜巷
机电队	2025-12-14	材料	210545130000025	阻燃型冷缩中间接头	10KV *3*70-120	套	6.00	1150.00	6900.00	开掘	﹢740m上仓斜巷
机电队	2025-12-14	材料	210545510000003	防水胶布	18mm	盘	3.00	1.41	4.23	开掘	﹢740m上仓斜巷
机电队	2025-12-14	材料	110501230000019	钢丝绳	6×19×6.2	公斤	83.00	10.65	883.95	开掘	﹢740m上仓斜巷
机电队	2025-12-14	材料	230119110000006	尼龙扎带	5×500	根	2500.00	0.07	175.00	开掘	﹢740m上仓斜巷
机电队	2025-12-14	材料	214101150000004	花兰螺丝	16×250	条	8.00	18.80	150.40	开掘	﹢740m上仓斜巷
机电队	2025-12-14	材料	972717050000003	大扫帚	竹把	把	3.00	14.59	43.77	开掘	﹢740m上仓斜巷
机电队	2025-12-14	材料	211501010000201	六角螺栓	16×200	条	15.00	2.83	42.45	开掘	﹢740m上仓斜巷
机电队	2025-12-14	材料	211501010000193	六角螺栓	16×120	件	15.00	1.48	22.20	开掘	﹢740m上仓斜巷
机电队	2025-12-14	材料	213121010000030	电锤钻头	6-25mm（10件）(高碳钢)	套	1.00	105.50	105.50	开掘	﹢740m上仓斜巷
机电队	2025-12-14	材料	390303030000004	（进口）电锤	Φ38mm（进口）（铜线圈）	把	1.00	2110.30	2110.30	开掘	﹢740m上仓斜巷
机电队	2025-12-14	材料	211501170000005	膨胀螺栓	10×90	条	150.00	0.90	135.00	开掘	﹢740m上仓斜巷
机电队	2025-12-14	材料	990145010000597	尖锹	/	把	14.00	8.11	113.54	开掘	﹢740m上仓斜巷
机电队	2025-12-14	材料	390199050000001	锹把	1200mm Φ30mm（槐木）±50mm	根	14.00	6.00	84.00	开掘	﹢740m上仓斜巷
机电队	2025-12-14	材料	211503010000004	普通螺母	16mm	件	30.00	0.19	5.70	开掘	﹢740m上仓斜巷
后勤部	2025-12-13	材料	250101030000013	加厚防尘服	大中小号	套	4.00	144.90	579.60	开掘	﹢740m上仓斜巷
后勤部	2025-12-13	材料	972717050000003	大扫帚	竹把	把	15.00	14.59	218.85	开掘	﹢740m上仓斜巷
后勤部	2025-12-13	材料	390101090000002	内六角扳手	10mm	把	1.00	4.25	4.25	开掘	﹢740m上仓斜巷
掘进二队	2025-12-12	材料	510301000000004	单体液压支柱	根	/	4.00	1207.63	4830.52	开掘	﹢740m上仓斜巷
掘进二队	2025-12-12	材料	510301000000002	单体液压支柱	根	/	4.00	925.95	3703.80	开掘	﹢740m上仓斜巷
掘进二队	2025-12-12	材料	211515050000001	管子垫	100mm	个	200.00	0.98	196.00	开掘	﹢740m上仓斜巷
掘进二队	2025-12-12	材料	211503010000004	普通螺母	16mm	件	500.00	0.19	95.00	开掘	﹢740m上仓斜巷
掘进二队	2025-12-12	材料	980121000001064	矿灯带	.	条	12.00	5.00	60.00	开掘	﹢740m上仓斜巷
掘进二队	2025-12-12	材料	250501010000013	防尘口罩	3M 9002	个	4.00	20.90	83.60	开掘	﹢740m上仓斜巷
掘进二队	2025-12-12	材料	250701070000003	乳胶手套	乳胶	双	24.00	4.92	118.08	开掘	﹢740m上仓斜巷
掘进二队	2025-12-12	材料	210323110000004	矿灯	KL5LM（Z）锂电	台	13.00	159.00	2067.00	开掘	﹢740m上仓斜巷
掘进二队	2025-12-12	材料	250101030000013	加厚防尘服	大中小号	套	12.00	144.90	1738.80	开掘	﹢740m上仓斜巷
掘进二队	2025-12-12	材料	510199170000140	球形截止阀	QJ19	件	25.00	61.95	1548.75	开掘	﹢740m上仓斜巷
掘进二队	2025-12-12	材料	230109210000001	高耐磨喷浆管	51×6×20	米	960.00	63.14	60614.40	开掘	﹢740m上仓斜巷
掘进二队	2025-12-12	材料	211501010000216	六角螺栓	16×70	件	430.00	0.83	356.90	开掘	﹢740m上仓斜巷
掘进二队	2025-12-12	材料	230743130000001	变色硅胶	500g	瓶	10.00	6.80	68.00	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-12	材料	211503010000002	普通螺母	12mm	件	10.00	0.13	1.30	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-12	材料	210505190000039	空气开关（断路器）	DZ47-63/ 2P 32A（长城）	台	1.00	9.90	9.90	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-12	材料	210503270000008	墙壁开关	一开	只	2.00	7.90	15.80	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-12	材料	211501010000165	六角螺栓	12×50	件	20.00	0.36	7.20	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-12	材料	391101990000010	大白鲨切割砂轮片400×3×32（单位：片）	400×3×32	片	68.00	11.48	780.64	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-12	材料	211501170000005	膨胀螺栓	10×90	条	150.00	0.90	135.00	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-12	材料	972717050000003	大扫帚	竹把	把	2.00	14.59	29.18	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-12	材料	210111010000296	橡套电缆	MYP-0.66/1.14KV 3×70+1×25 .	米	149.00	251.89	37531.61	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-12	材料	210111010000286	橡套电缆	MYP-0.66/1.14KV 3×35+1×16 .	米	110.00	135.00	14850.00	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-12	材料	212101250000053	法兰盘	50mm(-16)	个	23.00	14.96	344.08	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-12	材料	510199170000151	三通	KJ10	件	1.00	7.96	7.96	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-12	材料	230109330000552	高压胶管总成	KJR4-10-70/10000	条	5.00	456.24	2281.20	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-12	材料	390115070000001	ATO 精品钢丝钳200mm（45#钢）（单位：把）	200mm（45#钢）	把	1.00	9.39	9.39	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-12	材料	E21009070000342	台钻	ZXG7032	台	2.00	3325.00	6650.00	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-12	材料	E21009010000470	小型台钻	最大钻孔直径13mm 功率710W 电压220V	台	2.00	6100.00	12200.00	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-12	材料	E21099000002202	电机线圈切断拆线一体机	HD-30	台	1.00	11210.00	11210.00	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-12	材料	E30155030000067	空压机	W-0.9/12.5-7.5KW	台	1.00	5225.00	5225.00	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-12	材料	213719010000004	水平尺	1000mm（45#钢）	把	1.00	21.25	21.25	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-12	材料	391101990000126	切割片	/	片	22.00	24.70	543.40	开掘	﹢740m上仓斜巷
掘进二队	2025-12-11	材料	292103010000062	防爆挡板	80	件	1.00	1.02	1.02	开掘	﹢740m上仓斜巷
掘进二队	2025-12-11	材料	292103010000064	防爆挡板	85	件	1.00	1.21	1.21	开掘	﹢740m上仓斜巷
掘进二队	2025-12-11	材料	990143030013968	气动隔膜泵	BQG（350-400）/(0.2-0.4)（3969）	台	1.00	3600.00	3600.00	开掘	﹢740m上仓斜巷
掘进二队	2025-12-11	材料	292103010000060	防爆挡板	70	件	1.00	1.31	1.31	开掘	﹢740m上仓斜巷
掘进二队	2025-12-11	材料	510199170000140	球形截止阀	QJ19	件	3.00	61.95	185.85	开掘	﹢740m上仓斜巷
掘进二队	2025-12-11	材料	390107050000002	钢锯架	300mm（镀铬）	把	4.00	7.31	29.24	开掘	﹢740m上仓斜巷
掘进二队	2025-12-11	材料	278701010000003	塑料涂覆布正压风筒	FTZSS600*10	米	100.00	16.94	1694.00	开掘	﹢740m上仓斜巷
掘进二队	2025-12-11	材料	213115030000021	十字塑柄螺丝刀	6*150（磁力型）（45#钢）	把	1.00	4.51	4.51	开掘	﹢740m上仓斜巷
掘进二队	2025-12-11	材料	990143010007135	直通	Φ19	个	20.00	6.29	125.80	开掘	﹢740m上仓斜巷
掘进二队	2025-12-11	材料	213313170000004	手板锯	优质合金钢	把	3.00	51.06	153.18	开掘	﹢740m上仓斜巷
掘进二队	2025-12-11	材料	292107010000018	防爆密封圈	33×6×20	件	4.00	2.37	9.48	开掘	﹢740m上仓斜巷
掘进二队	2025-12-11	材料	230119110000006	尼龙扎带	5×500	根	850.00	0.07	59.50	开掘	﹢740m上仓斜巷
掘进二队	2025-12-11	材料	230119130000001	尼龙扎丝	250mm	根	648.00	0.02	12.96	开掘	﹢740m上仓斜巷
掘进二队	2025-12-11	材料	211927050000029	闸阀	Z41H-25C-DN50	只	1.00	259.08	259.08	开掘	﹢740m上仓斜巷
掘进二队	2025-12-11	材料	211917010000006	球阀	Q11F-16P-DN40	个	7.00	35.00	245.00	开掘	﹢740m上仓斜巷
企管科	2025-12-11	材料	390115070000001	ATO 精品钢丝钳200mm（45#钢）（单位：把）	200mm（45#钢）	把	1.00	9.39	9.39	开掘	﹢740m上仓斜巷
掘进一队	2025-12-10	材料	250701070000003	乳胶手套	乳胶	双	292.00	4.92	1436.64	开掘	﹢740m上仓斜巷
掘进一队	2025-12-10	材料	250501010000013	防尘口罩	3M 9002	个	146.00	20.90	3051.40	开掘	﹢740m上仓斜巷
掘进一队	2025-12-10	材料	390117010000023	电工包	40cm	个	10.00	26.09	260.90	开掘	﹢740m上仓斜巷
掘进一队	2025-12-10	材料	392301050000001	钢板尺	1000mm（45#钢）	把	2.00	61.20	122.40	开掘	﹢740m上仓斜巷
掘进一队	2025-12-10	材料	390115110000021	高档断线钳	24/ 600MM（45#钢）	把	2.00	48.91	97.82	开掘	﹢740m上仓斜巷
掘进一队	2025-12-10	材料	390121010000151	壁纸刀片	18×100	盒	2.00	5.76	11.52	开掘	﹢740m上仓斜巷
掘进一队	2025-12-10	材料	110707250000011	缝管锚杆	MF40/2000	套	120.00	37.00	4440.00	开掘	﹢740m上仓斜巷
掘进一队	2025-12-10	材料	390121010000104	壁纸刀	2041	把	7.00	18.91	132.37	开掘	﹢740m上仓斜巷
掘进一队	2025-12-10	材料	510199170000234	直通	KJ-10	件	5.00	3.19	15.95	开掘	﹢740m上仓斜巷
掘进一队	2025-12-10	材料	990143010007135	直通	Φ19	个	5.00	6.29	31.45	开掘	﹢740m上仓斜巷
掘进一队	2025-12-10	材料	990143030037906	中间架	800mm（16906）	架	5.00	404.60	2023.00	开掘	﹢740m上仓斜巷
掘进一队	2025-12-10	材料	210117030000023	矿用电缆挂钩	GL-PVC80	个	500.00	2.13	1065.00	开掘	﹢740m上仓斜巷
掘进一队	2025-12-10	材料	210553010000005	煤矿用隔爆型低压电缆接线盒	BHD2-400/1140(660)-4G	台	1.00	433.27	433.27	开掘	﹢740m上仓斜巷
武装保卫科	2025-12-10	材料	972717050000003	大扫帚	竹把	把	3.00	14.59	43.77	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-05	材料	210111010000230	橡套电缆	MY-0.38/0.66KV 3×16+1×10 .	米	84.00	67.41	5662.44	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-05	材料	211515030000005	弹簧垫	20mm	件	60.00	0.18	10.80	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-05	材料	211503010000010	普通螺母	30mm	件	10.00	1.51	15.10	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-05	材料	211501010000263	六角螺栓	20×80	件	60.00	1.68	100.80	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-05	材料	211503010000006	普通螺母	20mm	件	60.00	0.44	26.40	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-05	材料	550301190000951	螺栓（定制）	M30×150	件	4.00	52.00	208.00	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-05	材料	230303090000010	抗磨液压油	100#.	吨	0.17	19843.36	3373.37	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-05	材料	211501010000121	高强螺栓	30×130	件	4.00	8.00	32.00	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-05	材料	230303030000073	重负荷工业齿轮油	CKD320(优级).	吨	0.17	25647.79	4360.12	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-05	材料	212101250000053	法兰盘	50mm(-16)	个	50.00	14.96	748.00	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-05	材料	390115070000001	ATO 精品钢丝钳200mm（45#钢）（单位：把）	200mm（45#钢）	把	5.00	9.39	46.95	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-05	材料	E32301010000006	绕线机	自制	台	1.00	15000.00	15000.00	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-05	材料	213905010000014	磨光机	180型（铜线圈）	台	1.00	3009.70	3009.70	开掘	﹢740m上仓斜巷
掘进一队	2025-12-04	材料	392301010000004	包胶钢卷尺	5m（不锈钢，工程塑料）	把	1.00	37.73	37.73	开掘	﹢740m上仓斜巷
掘进一队	2025-12-04	材料	990143030016350	圆钉	100mm（热轧低碳钢)（6351）	公斤	2.00	7.37	14.74	开掘	﹢740m上仓斜巷
掘进一队	2025-12-04	材料	990145010000597	尖锹	/	把	151.00	8.11	1224.61	开掘	﹢740m上仓斜巷
掘进一队	2025-12-04	材料	990143030013968	气动隔膜泵	BQG（350-400）/(0.2-0.4)（3969）	台	1.00	3600.00	3600.00	开掘	﹢740m上仓斜巷
掘进一队	2025-12-04	材料	210323070000045	矿用隔爆型LED巷道灯	DGS60/127L(A)	台	8.00	1320.00	10560.00	开掘	﹢740m上仓斜巷
掘进一队	2025-12-04	材料	390199050000001	锹把	1200mm Φ30mm（槐木）±50mm	根	20.00	6.00	120.00	开掘	﹢740m上仓斜巷
掘进一队	2025-12-04	材料	250701070000003	乳胶手套	乳胶	双	50.00	4.92	246.00	开掘	﹢740m上仓斜巷
