集团域外企业物资采购情况统计表																
单位名称：平煤神马塔能伊斯法拉公司							月份：9月			填报时间：						
序号	月份	计划情况（元）				采购情况（元）										
		物资名称	规格型号	计划价格	计划数量	单位	采购单价（塔币索莫尼）	采购方式	付款方式	采购数量	采购金额（塔币索莫尼）	库存数量	单价（人民币元）	金额（人民币元）	单位	工程名称
83	9月	法兰盘	直径100mm		800	个	80	分采	转账	800	64,000.00 		60.30 	48239.99 	开掘	﹢810m水平回风大巷
84	9月	水泥	400		4.5	吨	935	分采	转账	4.5	4,207.50 		704.76 	3171.40 	开掘	﹢810m水平回风大巷
85	9月	细沙	/		5	方	265	分采	转账	5	1,325.00 		199.74 	998.72 	开掘	﹢810m水平回风大巷
		卷纸		19.50 	50.00 	包	19.50 		现金	50.00 	975		14.70 	734.91 	开掘	﹢810m水平回风大巷
		抽纸		23.00 	54.00 	盒	23.00 		现金	54.00 	1242		17.34 	936.16 	开掘	﹢810m水平回风大巷
		湿巾		20.00 	50.00 	包	20.00 		现金	50.00 	1000		15.07 	753.75 	开掘	﹢810m水平回风大巷
		垃圾袋		3.50 	36.00 	卷	3.50 		现金	36.00 	126		2.64 	94.97 	开掘	﹢810m水平回风大巷
		洗衣粉		88.00 	5.00 	袋	88.00 		现金	5.00 	440		66.33 	331.65 	开掘	﹢810m水平回风大巷
		衣服架		25.00 	4.00 	把	25.00 		现金	4.00 	100		18.84 	75.37 	开掘	﹢810m水平回风大巷
		瓶装矿泉水		72.00 	100.00 	件	72.00 		现金	100.00 	7200		54.27 	5427.00 	开掘	﹢810m水平回风大巷
		插排		88.00 	1.00 	个	88.00 		现金	1.00 	88		66.33 	66.33 	开掘	﹢810m水平回风大巷
		插排		47.00 	1.00 	个	47.00 		现金	1.00 	47		35.43 	35.43 	开掘	﹢810m水平回风大巷
		插排		40.00 	1.00 	个	40.00 		现金	1.00 	40		30.15 	30.15 	开掘	﹢810m水平回风大巷
		矿工节牌板		800	5	个	800		现金	5	4000		603.00 	3015.00 	开掘	﹢810m水平回风大巷
		衣柜80*200		1800.00 	60.00 	个	1800.00 		银	60.00 	108000		1356.75 	81404.99 	开掘	﹢810m水平回风大巷
		长条桌		700.00 	30.00 	个	700.00 		银	30.00 	21000		527.62 	15828.75 	开掘	﹢810m水平回风大巷
		办公桌		1300.00 	45.00 	个	1300.00 		银	45.00 	58500		979.87 	44094.37 	开掘	﹢810m水平回风大巷
		办公椅		600.00 	45.00 	个	600.00 		银	45.00 	27000		452.25 	20351.25 	开掘	﹢810m水平回风大巷
		床		1300.00 	15.00 	张	1300.00 		银	15.00 	19500		979.87 	14698.12 	开掘	﹢810m水平回风大巷
		洗衣房柜子		1800.00 	7.00 	个	1800.00 		银	7.00 	12600		1356.75 	9497.25 	开掘	﹢810m水平回风大巷
		沙发		2450.00 	1.00 	个	2450.00 		银	1.00 	2450		1846.69 	1846.69 	开掘	﹢810m水平回风大巷
		茶几		450.00 	1.00 	个	450.00 		银	1.00 	450		339.19 	339.19 	开掘	﹢810m水平回风大巷
		床垫		500.00 	1.00 	个	500.00 		银	1.00 	500		376.87 	376.87 	开掘	﹢810m水平回风大巷
		发光字体		56890	1	台	56890		银	1	56890		42880.83 	42880.83 	开掘	﹢810m水平回风大巷
		帽子		90	10	个	90		转账	10	900		67.84 	678.37 	开掘	﹢810m水平回风大巷
		地毯		120	12	米	120		转账	12	1440		90.45 	1085.40 	开掘	﹢810m水平回风大巷
		枕头		80	46	个	80		转账	46	3680		60.30 	2773.80 	开掘	﹢810m水平回风大巷
		被子		100	40	个	100		转账	40	4000		75.37 	3015.00 	开掘	﹢810m水平回风大巷
		四件套		120	41	个	120		转账	41	4920		90.45 	3708.45 	开掘	﹢810m水平回风大巷
		夏凉被		120	20	个	120		转账	20	2400		90.45 	1809.00 	开掘	﹢810m水平回风大巷
		洗衣机		2600	2	台	2600		转账	2	5200		1959.75 	3919.50 	开掘	﹢810m水平回风大巷
		西瓜		2.8	1623	公斤	2.8		转账	1623	4544.4		2.11 	3425.34 	开掘	﹢810m水平回风大巷
		哈密瓜		7.95	772	公斤	7.95		转账	772	6137.4		5.99 	4626.06 	开掘	﹢810m水平回风大巷
		洗衣粉		68	15	带	68		转账	15	1020		51.25 	768.82 	开掘	﹢810m水平回风大巷
		紫外线灯		300	10	个	300		转账	10	3000		226.12 	2261.25 	开掘	﹢810m水平回风大巷
		灭蚊灯		270	10	个	270		转账	10	2700		203.51 	2035.12 	开掘	﹢810m水平回风大巷
		蝇香		14	15	盒	14		转账	15	210		10.55 	158.29 	开掘	﹢810m水平回风大巷
		蚊香		14	15	盒	14		转账	15	210		10.55 	158.29 	开掘	﹢810m水平回风大巷
		2.1*2.3门帘		1290	2	个	1290		转账	2	2580		972.34 	1944.67 	开掘	﹢810m水平回风大巷
		2.1*2.6门帘		1350	2	个	1350		转账	2	2700		1017.56 	2035.12 	开掘	﹢810m水平回风大巷
		1*2.1门纱		570	4	个	570		转账	4	2280		429.64 	1718.55 	开掘	﹢810m水平回风大巷
		1*1.95门纱		520	2	个	520		转账	2	1040		391.95 	783.90 	开掘	﹢810m水平回风大巷
		0.9*2.1门纱		490	2	个	490		转账	2	980		369.34 	738.67 	开掘	﹢810m水平回风大巷
		1.25*2.18门纱		830	3	个	830		转账	3	2490		625.61 	1876.84 	开掘	﹢810m水平回风大巷
		灭火器		134	10	个	134		转账	10	1340		101.00 	1010.02 	开掘	﹢810m水平回风大巷
		床板		130	17	个	130		转账	17	2210		97.99 	1665.79 	开掘	﹢810m水平回风大巷
